Year,NOC,Gold,Silver,Bronze,Total,Rank,Athletes,GDP,Host,Past_Gold_Avg,Past_Total_Avg,Past_Gold_Sum,Past_Total_Sum,Cluster
1988,China,5,11,12,28,11.0,427.0,59630.0,0,15.0,32.0,15.0,32.0,0
1996,China,16,22,12,50,4.0,438.0,106966.0,0,12.0,38.0,36.0,114.0,0
2000,China,28,16,14,58,3.0,414.0,118150.0,0,12.333333333333334,44.0,37.0,132.0,0
1992,China,16,22,16,54,4.0,394.0,65455.0,0,10.0,30.0,20.0,60.0,0
2008,Chinese Taipei,1,1,2,4,44.0,0.0,25348.2,0,0.6666666666666666,3.6666666666666665,2.0,11.0,2
1984,Chinese Taipei,0,0,1,1,43.0,0.0,25348.2,0,0.0,0.0,0.0,0.0,2
2024,Chinese Taipei,2,0,5,7,35.0,0.0,253482.0,0,1.3333333333333333,5.666666666666667,4.0,17.0,2
2020,Chinese Taipei,2,4,6,12,34.0,0.0,25348.2,0,1.0,3.0,3.0,9.0,2
1996,Chinese Taipei,0,1,0,1,61.0,0.0,25348.2,0,0.0,1.0,0.0,2.0,2
2000,Chinese Taipei,0,1,4,5,58.0,0.0,25348.2,0,0.0,1.0,0.0,3.0,2
2016,Chinese Taipei,1,0,2,3,50.0,0.0,25348.2,0,1.3333333333333333,3.6666666666666665,4.0,11.0,2
2012,Chinese Taipei,1,0,1,2,48.0,0.0,25348.2,0,1.0,4.666666666666667,3.0,14.0,2
2004,Chinese Taipei,2,2,1,5,31.0,0.0,25348.2,0,0.0,2.3333333333333335,0.0,7.0,2
1992,Chinese Taipei,0,1,0,1,49.0,0.0,25348.2,0,0.0,1.0,0.0,1.0,2
2016,Colombia,3,2,3,8,22.0,157.0,15012.0,0,0.3333333333333333,4.666666666666667,1.0,14.0,2
2008,Colombia,0,2,1,3,60.0,90.0,16395.0,0,0.3333333333333333,1.3333333333333333,1.0,4.0,2
1984,Colombia,0,1,0,1,33.0,48.0,9458.0,0,0.0,3.0,0.0,3.0,2
1992,Colombia,0,0,1,1,54.0,61.0,8935.0,0,0.0,1.6666666666666667,0.0,5.0,2
2020,Colombia,0,4,1,5,66.0,77.0,12637.0,0,1.3333333333333333,6.666666666666667,4.0,20.0,2
2024,Colombia,0,3,1,4,66.0,105.0,16395.0,0,1.3333333333333333,7.333333333333333,4.0,22.0,2
1988,Colombia,0,0,1,1,46.0,57.0,7468.0,0,0.0,2.0,0.0,4.0,2
2000,Colombia,1,0,0,1,50.0,54.0,9723.0,0,0.0,1.0,0.0,3.0,2
2012,Colombia,1,3,5,9,38.0,120.0,22777.0,0,0.3333333333333333,2.0,1.0,6.0,2
2004,Colombia,0,0,2,2,68.0,71.0,9565.0,0,0.3333333333333333,1.0,1.0,3.0,2
1972,Colombia,0,1,2,3,31.0,75.0,6730.0,0,0.0,0.0,0.0,0.0,2
1988,Costa Rica,0,1,0,1,36.0,0.0,860.0,0,0.0,0.0,0.0,0.0,1
2000,Costa Rica,0,0,2,2,69.0,0.0,1444.0,0,0.5,1.0,1.0,2.0,1
1996,Costa Rica,1,0,0,1,49.0,0.0,1419.0,0,0.0,1.0,0.0,1.0,1
1996,Croatia,1,1,0,2,45.0,0.0,2964.0,0,0.0,3.0,0.0,3.0,2
2020,Croatia,3,3,2,8,26.0,0.0,2691.0,0,2.6666666666666665,7.0,8.0,21.0,2
2008,Croatia,0,2,3,5,59.0,0.0,4613.0,0,1.0,3.0,3.0,9.0,2
2000,Croatia,1,0,1,2,49.0,0.0,2139.0,0,0.5,2.5,1.0,5.0,2
2004,Croatia,1,2,2,5,44.0,0.0,3405.0,0,0.6666666666666666,2.3333333333333335,2.0,7.0,2
2016,Croatia,5,3,2,10,17.0,0.0,2777.0,0,1.3333333333333333,5.333333333333333,4.0,16.0,2
1992,Croatia,0,1,2,3,44.0,0.0,1608.0,0,0.0,0.0,0.0,0.0,2
2012,Croatia,3,1,2,6,26.0,0.0,3511.0,0,0.6666666666666666,4.0,2.0,12.0,2
2024,Croatia,2,2,3,7,30.0,0.0,3511.0,0,3.6666666666666665,8.0,11.0,24.0,2
2020,Cuba,7,3,5,15,14.0,82.0,5004.0,0,4.333333333333333,18.666666666666668,13.0,56.0,4
1996,Cuba,9,8,8,25,8.0,178.0,3071.0,0,9.333333333333334,21.333333333333332,28.0,64.0,4
1976,Cuba,6,4,3,13,8.0,194.0,7344.0,0,1.0,4.333333333333333,3.0,13.0,4
1992,Cuba,14,6,11,31,5.0,196.0,3367.0,0,5.666666666666667,13.666666666666666,17.0,41.0,4
1980,Cuba,8,7,5,20,4.0,288.0,6950.0,0,3.0,8.333333333333334,9.0,25.0,4
1900,Cuba,1,1,0,2,12.0,2.0,3235.235294117647,0,0.0,0.0,0.0,0.0,4
2024,Cuba,2,1,6,9,32.0,69.0,3788.0,0,5.666666666666667,13.666666666666666,17.0,41.0,4
1968,Cuba,0,4,0,4,31.0,227.0,3235.235294117647,0,1.0,1.6666666666666667,3.0,5.0,4
1904,Cuba,3,0,0,3,4.0,6.0,3235.235294117647,0,1.0,2.0,1.0,2.0,4
2016,Cuba,5,2,4,11,18.0,143.0,4836.0,0,5.666666666666667,24.0,17.0,72.0,4
2008,Cuba,3,10,17,30,19.0,171.0,3788.0,0,9.666666666666666,27.0,29.0,81.0,4
1964,Cuba,0,1,0,1,30.0,76.0,3235.235294117647,0,1.3333333333333333,2.0,4.0,6.0,4
1948,Cuba,0,1,0,1,28.0,112.0,3235.235294117647,0,2.0,2.5,4.0,5.0,4
2004,Cuba,9,7,11,27,11.0,177.0,3108.0,0,11.333333333333334,28.333333333333332,34.0,85.0,4
2012,Cuba,5,3,7,15,16.0,118.0,4471.0,0,7.666666666666667,28.666666666666668,23.0,86.0,4
1972,Cuba,3,1,4,8,14.0,201.0,6311.0,0,0.0,2.0,0.0,6.0,4
2000,Cuba,11,11,7,29,9.0,271.0,2961.0,0,10.333333333333334,25.333333333333332,31.0,76.0,4
2012,Cyprus,0,1,0,1,70.0,13.0,1512.0,0,0.0,0.0,0.0,0.0,1
2024,Cyprus,0,1,0,1,74.0,23.0,1861.0,0,0.0,1.0,0.0,1.0,1
2016,Czech Republic,1,2,7,10,43.0,0.0,12648.125,0,2.6666666666666665,9.0,8.0,27.0,2
2000,Czech Republic,2,3,3,8,28.0,0.0,12648.125,0,4.0,11.0,4.0,11.0,2
2024,Czech Republic,3,0,2,5,28.0,0.0,101185.0,0,3.0,10.666666666666666,9.0,32.0,2
2004,Czech Republic,1,3,5,9,42.0,0.0,12648.125,0,3.0,9.5,6.0,19.0,2
1996,Czech Republic,4,3,4,11,17.0,0.0,12648.125,0,0.0,0.0,0.0,0.0,2
2012,Czech Republic,4,4,3,11,19.0,0.0,12648.125,0,2.0,8.0,6.0,24.0,2
2008,Czech Republic,3,3,1,7,25.0,0.0,12648.125,0,2.3333333333333335,9.333333333333334,7.0,28.0,2
2020,Czech Republic,4,4,3,11,18.0,0.0,12648.125,0,2.6666666666666665,9.333333333333334,8.0,28.0,2
1976,Czechoslovakia,2,2,4,8,17.0,0.0,0.0,0,4.666666666666667,11.666666666666666,14.0,35.0,2
1972,Czechoslovakia,2,4,2,8,18.0,0.0,0.0,0,5.0,11.666666666666666,15.0,35.0,2
1924,Czechoslovakia,1,4,5,10,15.0,0.0,0.0,0,0.0,2.0,0.0,2.0,2
1936,Czechoslovakia,3,5,1,9,13.0,0.0,0.0,0,1.3333333333333333,8.333333333333334,4.0,25.0,2
1932,Czechoslovakia,1,3,2,6,17.0,0.0,0.0,0,1.0,7.0,3.0,21.0,2
1964,Czechoslovakia,5,6,3,14,9.0,0.0,0.0,0,3.6666666666666665,9.0,11.0,27.0,2
1960,Czechoslovakia,3,2,3,8,10.0,0.0,0.0,0,4.666666666666667,10.0,14.0,30.0,2
1920,Czechoslovakia,0,0,2,2,21.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
1948,Czechoslovakia,6,2,3,11,8.0,0.0,0.0,0,2.0,8.0,6.0,24.0,2
1988,Czechoslovakia,3,3,2,8,17.0,0.0,0.0,0,2.0,10.0,6.0,30.0,2
1968,Czechoslovakia,7,2,4,13,7.0,0.0,0.0,0,3.0,9.333333333333334,9.0,28.0,2
1992,Czechoslovakia,4,2,1,7,15.0,0.0,0.0,0,2.3333333333333335,10.0,7.0,30.0,2
1928,Czechoslovakia,2,5,2,9,14.0,0.0,0.0,0,0.5,6.0,1.0,12.0,2
1980,Czechoslovakia,2,3,9,14,13.0,0.0,0.0,0,3.6666666666666665,9.666666666666666,11.0,29.0,2
1956,Czechoslovakia,1,4,1,6,18.0,0.0,0.0,0,5.333333333333333,11.0,16.0,33.0,2
1952,Czechoslovakia,7,3,3,13,6.0,0.0,0.0,0,3.3333333333333335,8.666666666666666,10.0,26.0,2
1920,Denmark,3,9,1,13,10.0,246.0,10415.586206896553,0,0.6666666666666666,7.666666666666667,2.0,23.0,2
1936,Denmark,0,2,3,5,23.0,173.0,10415.586206896553,0,1.6666666666666667,7.666666666666667,5.0,23.0,2
1992,Denmark,1,1,4,6,30.0,144.0,23440.0,0,1.3333333333333333,5.0,4.0,15.0,2
1980,Denmark,2,1,2,5,16.0,60.0,24764.0,0,1.0,4.0,3.0,12.0,2
2000,Denmark,2,3,1,6,30.0,124.0,15983.0,0,2.3333333333333335,5.333333333333333,7.0,16.0,2
2016,Denmark,2,6,7,15,27.0,143.0,16579.0,0,2.0,8.0,6.0,24.0,2
1964,Denmark,2,1,3,6,18.0,71.0,10415.586206896553,0,1.6666666666666667,5.333333333333333,5.0,16.0,2
1956,Denmark,1,2,1,4,20.0,51.0,10415.586206896553,0,2.3333333333333335,10.333333333333334,7.0,31.0,2
1908,Denmark,0,2,3,5,16.0,107.0,10415.586206896553,0,1.0,6.0,2.0,12.0,2
2020,Denmark,3,4,4,11,25.0,138.0,16631.0,0,2.0,10.333333333333334,6.0,31.0,2
1932,Denmark,0,5,3,8,20.0,94.0,10415.586206896553,0,2.6666666666666665,9.333333333333334,8.0,28.0,2
2004,Denmark,2,1,5,8,34.0,115.0,20607.0,0,2.3333333333333335,6.0,7.0,18.0,2
1952,Denmark,2,1,3,6,15.0,201.0,10415.586206896553,0,1.6666666666666667,11.0,5.0,33.0,2
1976,Denmark,1,0,2,3,24.0,81.0,23739.0,0,1.3333333333333333,5.0,4.0,15.0,2
2008,Denmark,2,2,3,7,30.0,108.0,24011.0,0,2.6666666666666665,6.666666666666667,8.0,20.0,2
1924,Denmark,2,5,2,9,12.0,158.0,10415.586206896553,0,1.3333333333333333,10.0,4.0,30.0,2
1972,Denmark,1,0,0,1,25.0,155.0,18113.0,0,1.6666666666666667,6.666666666666667,5.0,20.0,2
1984,Denmark,0,3,3,6,27.0,74.0,14564.0,0,1.3333333333333333,3.0,4.0,9.0,2
2024,Denmark,2,2,5,9,29.0,161.0,24011.0,0,2.3333333333333335,11.666666666666666,7.0,35.0,2
1928,Denmark,3,1,2,6,13.0,122.0,10415.586206896553,0,2.0,11.333333333333334,6.0,34.0,2
2012,Denmark,2,4,3,9,30.0,149.0,20076.0,0,2.0,7.0,6.0,21.0,2
1948,Denmark,5,7,8,20,10.0,253.0,10415.586206896553,0,1.0,6.333333333333333,3.0,19.0,2
1912,Denmark,1,6,5,12,14.0,233.0,10415.586206896553,0,0.6666666666666666,5.666666666666667,2.0,17.0,2
1996,Denmark,4,1,1,6,19.0,145.0,23196.0,0,1.0,5.333333333333333,3.0,16.0,2
1896,Denmark,1,2,3,6,9.0,15.0,10415.586206896553,0,0.0,0.0,0.0,0.0,2
1900,Denmark,1,3,2,6,10.0,36.0,10415.586206896553,0,1.0,6.0,1.0,6.0,2
1968,Denmark,1,4,3,8,22.0,93.0,14294.0,0,1.6666666666666667,5.333333333333333,5.0,16.0,2
1960,Denmark,2,3,1,6,13.0,109.0,10415.586206896553,0,2.6666666666666665,10.0,8.0,30.0,2
1988,Denmark,2,1,1,4,23.0,130.0,22044.0,0,1.0,4.666666666666667,3.0,14.0,2
1988,Djibouti,0,0,1,1,46.0,6.0,55.0,0,0.0,0.0,0.0,0.0,2
2024,Dominica,1,0,0,1,62.0,4.0,7.0,0,0.0,0.0,0.0,0.0,1
2012,Dominican Republic,1,1,0,2,47.0,36.0,3704.0,0,0.6666666666666666,1.3333333333333333,2.0,4.0,1
2020,Dominican Republic,0,3,2,5,68.0,69.0,3669.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,1
2008,Dominican Republic,1,1,0,2,47.0,27.0,3234.0,0,0.5,1.0,1.0,2.0,1
1984,Dominican Republic,0,0,1,1,43.0,24.0,2855.0,0,0.0,0.0,0.0,0.0,1
2016,Dominican Republic,0,0,1,1,78.0,30.0,4003.0,0,1.0,1.6666666666666667,3.0,5.0,1
2004,Dominican Republic,1,0,0,1,54.0,33.0,1808.0,0,0.0,1.0,0.0,1.0,1
2024,Dominican Republic,1,0,2,3,59.0,64.0,3234.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,1
2020,Ecuador,2,1,0,3,38.0,52.0,4466.0,0,0.5,1.0,1.0,2.0,1
1996,Ecuador,1,0,0,1,49.0,28.0,3097.0,0,0.0,0.0,0.0,0.0,1
2008,Ecuador,0,1,0,1,72.0,26.0,4116.0,0,1.0,1.0,1.0,1.0,1
2024,Ecuador,1,2,2,5,49.0,47.0,4116.0,0,1.0,1.6666666666666667,3.0,5.0,1
2004,Egypt,1,1,3,5,46.0,105.0,10539.25,0,0.0,1.3333333333333333,0.0,4.0,2
2008,Egypt,0,0,2,2,81.0,118.0,10539.25,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
2016,Egypt,0,0,3,3,75.0,139.0,10539.25,0,0.3333333333333333,3.6666666666666665,1.0,11.0,2
1936,Egypt,2,1,2,5,16.0,66.0,10539.25,0,2.0,4.0,2.0,4.0,2
1952,Egypt,0,0,1,1,40.0,196.0,10539.25,0,2.0,4.666666666666667,6.0,14.0,2
2020,Egypt,1,1,4,6,54.0,198.0,10539.25,0,0.0,3.0,0.0,9.0,2
2012,Egypt,0,3,1,4,56.0,134.0,10539.25,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
1928,Egypt,2,1,1,4,17.0,43.0,10539.25,0,0.0,0.0,0.0,0.0,2
1984,Egypt,0,1,0,1,33.0,151.0,10539.25,0,0.6666666666666666,2.6666666666666665,2.0,8.0,2
1948,Egypt,2,2,1,5,16.0,166.0,10539.25,0,2.0,4.5,4.0,9.0,2
1960,Egypt,0,1,1,2,30.0,0.0,10539.25,0,1.3333333333333333,3.6666666666666665,4.0,11.0,2
2024,Egypt,1,1,1,3,52.0,210.0,126471.0,0,0.3333333333333333,4.333333333333333,1.0,13.0,2
2004,Eritrea,0,0,1,1,71.0,5.0,71.0,0,0.0,0.0,0.0,0.0,1
1928,Estonia,2,1,2,5,16.0,23.0,662.0,0,1.0,4.5,2.0,9.0,2
2016,Estonia,0,0,1,1,78.0,49.0,1283.0,0,0.3333333333333333,2.3333333333333335,1.0,7.0,2
2008,Estonia,1,1,0,2,47.0,53.0,1624.0,0,0.6666666666666666,2.6666666666666665,2.0,8.0,2
2020,Estonia,1,0,1,2,59.0,42.0,1466.0,0,0.3333333333333333,1.6666666666666667,1.0,5.0,2
2000,Estonia,1,0,2,3,47.0,41.0,534.0,0,1.6666666666666667,4.666666666666667,5.0,14.0,2
1920,Estonia,1,2,0,3,14.0,20.0,662.0,0,0.0,0.0,0.0,0.0,2
2004,Estonia,0,1,2,3,64.0,45.0,975.0,0,1.3333333333333333,4.0,4.0,12.0,2
1924,Estonia,1,1,4,6,17.0,47.0,662.0,0,1.0,3.0,1.0,3.0,2
1992,Estonia,1,0,1,2,34.0,46.0,662.0,0,1.6666666666666667,6.0,5.0,18.0,2
1936,Estonia,2,2,3,7,14.0,36.0,662.0,0,1.3333333333333333,4.666666666666667,4.0,14.0,2
2012,Estonia,0,1,1,2,65.0,36.0,1400.0,0,0.6666666666666666,2.6666666666666665,2.0,8.0,2
1980,Ethiopia,2,0,2,4,17.0,48.0,2435.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,2
2012,Ethiopia,3,2,3,8,25.0,34.0,2635.0,0,3.3333333333333335,7.333333333333333,10.0,22.0,2
1968,Ethiopia,1,1,0,2,25.0,26.0,2716.0,0,1.0,1.0,2.0,2.0,2
2024,Ethiopia,1,3,0,4,47.0,35.0,1809.0,0,1.6666666666666667,6.666666666666667,5.0,20.0,2
1960,Ethiopia,1,0,0,1,21.0,15.0,1952.357142857143,0,0.0,0.0,0.0,0.0,2
1996,Ethiopia,2,0,1,3,34.0,19.0,1057.0,0,1.0,3.0,3.0,9.0,2
2016,Ethiopia,1,2,5,8,44.0,38.0,3928.0,0,3.0,7.333333333333333,9.0,22.0,2
1992,Ethiopia,1,0,2,3,33.0,24.0,1629.0,0,1.0,2.6666666666666665,3.0,8.0,2
1972,Ethiopia,0,0,2,2,41.0,40.0,2703.0,0,1.0,1.3333333333333333,3.0,4.0,2
2020,Ethiopia,1,1,2,4,56.0,38.0,5018.0,0,2.6666666666666665,7.666666666666667,8.0,23.0,2
2008,Ethiopia,4,2,1,7,17.0,29.0,1809.0,0,2.6666666666666665,6.0,8.0,18.0,2
2000,Ethiopia,4,1,3,8,20.0,27.0,784.0,0,1.6666666666666667,3.3333333333333335,5.0,10.0,2
2004,Ethiopia,2,3,2,7,28.0,27.0,810.0,0,2.3333333333333335,4.666666666666667,7.0,14.0,2
1964,Ethiopia,1,0,0,1,24.0,19.0,1952.357142857143,0,1.0,1.0,1.0,1.0,2
1996,FR Yugoslavia,1,1,2,4,41.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2000,FR Yugoslavia,1,1,1,3,44.0,0.0,0.0,0,1.0,4.0,1.0,4.0,2
2024,Fiji,0,1,0,1,74.0,0.0,215.0,0,1.0,1.5,2.0,3.0,1
2020,Fiji,1,0,1,2,59.0,0.0,184.0,0,1.0,1.0,1.0,1.0,1
2016,Fiji,1,0,0,1,54.0,0.0,239.0,0,0.0,0.0,0.0,0.0,1
1988,Finland,1,1,2,4,25.0,101.0,20803.0,0,3.6666666666666665,8.666666666666666,11.0,26.0,4
2004,Finland,0,2,0,2,61.0,67.0,16143.0,0,1.3333333333333333,4.333333333333333,4.0,13.0,4
2008,Finland,1,1,2,4,44.0,70.0,19320.0,0,1.0,3.3333333333333335,3.0,10.0,4
1976,Finland,4,2,0,6,11.0,108.0,16986.0,0,2.3333333333333335,5.666666666666667,7.0,17.0,4
1968,Finland,1,2,1,4,24.0,126.0,9413.0,0,2.3333333333333335,8.333333333333334,7.0,25.0,4
1956,Finland,3,1,11,15,13.0,147.0,8188.961538461538,0,7.333333333333333,20.666666666666668,22.0,62.0,4
1932,Finland,5,8,12,25,8.0,66.0,8188.961538461538,0,12.333333333333334,32.0,37.0,96.0,4
1936,Finland,8,6,6,20,5.0,186.0,8188.961538461538,0,9.0,29.0,27.0,87.0,4
2020,Finland,0,0,2,2,85.0,49.0,12620.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,4
1992,Finland,1,2,2,5,29.0,130.0,17239.0,0,2.6666666666666665,8.0,8.0,24.0,4
1952,Finland,6,3,13,22,8.0,411.0,8188.961538461538,1,7.0,21.666666666666668,21.0,65.0,4
1972,Finland,3,1,4,8,14.0,133.0,11478.0,0,1.6666666666666667,4.666666666666667,5.0,14.0,4
1996,Finland,1,2,1,4,40.0,105.0,16322.0,0,2.0,7.0,6.0,21.0,4
2012,Finland,0,2,1,3,60.0,69.0,15810.0,0,1.0,3.3333333333333335,3.0,10.0,4
1960,Finland,1,1,3,5,17.0,219.0,8188.961538461538,0,5.666666666666667,19.0,17.0,57.0,4
1912,Finland,9,8,9,26,4.0,233.0,8188.961538461538,0,1.0,5.0,1.0,5.0,4
1948,Finland,8,7,5,20,6.0,215.0,8188.961538461538,0,7.0,23.333333333333332,21.0,70.0,4
1920,Finland,15,10,9,34,3.0,136.0,8188.961538461538,0,5.0,15.5,10.0,31.0,4
1984,Finland,4,2,6,12,15.0,107.0,13078.0,0,3.3333333333333335,7.333333333333333,10.0,22.0,4
1908,Finland,1,1,3,5,13.0,94.0,8188.961538461538,0,0.0,0.0,0.0,0.0,4
2000,Finland,2,1,1,4,31.0,88.0,12268.0,0,1.0,4.333333333333333,3.0,13.0,4
2016,Finland,0,0,1,1,78.0,67.0,12675.0,0,0.3333333333333333,3.0,1.0,9.0,4
1964,Finland,3,0,2,5,12.0,151.0,8188.961538461538,0,3.3333333333333335,14.0,10.0,42.0,4
1980,Finland,3,1,4,8,12.0,125.0,18758.0,0,2.6666666666666665,6.0,8.0,18.0,4
1928,Finland,8,8,9,25,3.0,132.0,8188.961538461538,0,12.666666666666666,32.333333333333336,38.0,97.0,4
1924,Finland,14,13,10,37,2.0,253.0,8188.961538461538,0,8.333333333333334,21.666666666666668,25.0,65.0,4
1960,Formosa,0,1,0,1,32.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2008,France,7,16,20,43,10.0,448.0,198141.0,0,13.0,36.0,39.0,108.0,4
1964,France,1,8,6,15,21.0,214.0,86336.93333333333,0,3.3333333333333335,12.333333333333334,10.0,37.0,4
1924,France,13,15,10,38,3.0,636.0,86336.93333333333,1,7.0,24.666666666666668,21.0,74.0,4
1960,France,0,2,3,5,25.0,363.0,86336.93333333333,0,6.666666666666667,20.333333333333332,20.0,61.0,4
1908,France,5,5,9,19,4.0,319.0,86336.93333333333,0,10.666666666666666,38.333333333333336,32.0,115.0,4
1904,France,0,1,0,1,13.0,2.0,86336.93333333333,0,16.0,57.0,32.0,114.0,4
1936,France,7,6,6,19,6.0,303.0,86336.93333333333,0,10.0,26.333333333333332,30.0,79.0,4
2020,France,10,12,11,33,8.0,538.0,123980.0,0,9.333333333333334,40.0,28.0,120.0,4
1952,France,6,6,6,18,7.0,408.0,86336.93333333333,0,9.333333333333334,22.666666666666668,28.0,68.0,4
1976,France,2,3,4,9,15.0,302.0,196680.0,0,3.3333333333333335,14.333333333333334,10.0,43.0,4
1988,France,6,4,6,16,9.0,413.0,193020.0,0,4.333333333333333,17.0,13.0,51.0,4
1920,France,9,19,13,41,8.0,452.0,86336.93333333333,0,4.0,11.333333333333334,12.0,34.0,4
1896,France,5,4,2,11,4.0,26.0,86336.93333333333,0,0.0,0.0,0.0,0.0,4
2012,France,11,11,13,35,7.0,426.0,165043.0,0,10.333333333333334,38.0,31.0,114.0,4
1980,France,6,5,3,14,8.0,200.0,243057.0,0,3.6666666666666665,12.333333333333334,11.0,37.0,4
1984,France,5,7,16,28,12.0,354.0,130021.0,0,3.3333333333333335,12.0,10.0,36.0,4
1948,France,10,6,13,29,3.0,433.0,86336.93333333333,0,8.0,20.0,24.0,60.0,4
1912,France,7,4,3,14,5.0,232.0,86336.93333333333,0,10.666666666666666,41.0,32.0,123.0,4
1992,France,8,5,16,29,9.0,486.0,213111.0,0,5.666666666666667,19.333333333333332,17.0,58.0,4
1956,France,4,4,6,14,11.0,227.0,86336.93333333333,0,7.666666666666667,22.0,23.0,66.0,4
1972,France,2,4,7,13,17.0,356.0,157585.0,0,2.6666666666666665,11.666666666666666,8.0,35.0,4
1900,France,27,39,37,103,1.0,1071.0,86336.93333333333,1,5.0,11.0,5.0,11.0,4
2000,France,13,14,11,38,6.0,470.0,132746.0,0,9.666666666666666,27.333333333333332,29.0,82.0,4
1928,France,6,10,5,21,7.0,422.0,86336.93333333333,0,9.666666666666666,31.0,29.0,93.0,4
2016,France,10,18,14,42,7.0,512.0,131350.0,0,9.666666666666666,37.0,29.0,111.0,4
2004,France,11,9,13,33,7.0,461.0,172674.0,0,12.0,34.666666666666664,36.0,104.0,4
1996,France,15,7,15,37,5.0,453.0,198028.0,0,6.333333333333333,24.333333333333332,19.0,73.0,4
2024,France,16,26,22,64,5.0,801.0,198141.0,1,10.333333333333334,36.666666666666664,31.0,110.0,4
1968,France,7,3,5,15,6.0,311.0,136531.0,0,1.6666666666666667,11.333333333333334,5.0,34.0,4
1932,France,11,5,4,20,3.0,159.0,86336.93333333333,0,9.333333333333334,33.333333333333336,28.0,100.0,4
2012,Gabon,0,1,0,1,70.0,21.0,1027.0,0,0.0,0.0,0.0,0.0,1
1996,Georgia,0,0,2,2,68.0,42.0,355.0,0,0.0,0.0,0.0,0.0,2
2020,Georgia,2,5,1,8,33.0,36.0,726.0,0,2.0,6.666666666666667,6.0,20.0,2
2008,Georgia,3,2,2,7,28.0,38.0,843.0,0,0.6666666666666666,4.0,2.0,12.0,2
2016,Georgia,2,1,4,7,38.0,45.0,798.0,0,2.0,5.666666666666667,6.0,17.0,2
2024,Georgia,3,3,1,7,24.0,38.0,1010.0,0,1.6666666666666667,7.0,5.0,21.0,2
2012,Georgia,1,2,3,6,40.0,36.0,1010.0,0,1.6666666666666667,5.666666666666667,5.0,17.0,2
2000,Georgia,0,0,6,6,68.0,47.0,278.0,0,0.0,2.0,0.0,2.0,2
2004,Georgia,2,2,0,4,32.0,39.0,400.0,0,0.0,4.0,0.0,8.0,2
1952,Germany,0,7,17,24,28.0,0.0,134684.59259259258,0,17.666666666666668,52.0,53.0,156.0,0
1960,Germany,12,19,11,42,4.0,0.0,134684.59259259258,0,14.666666666666666,50.333333333333336,44.0,151.0,0
1992,Germany,33,21,28,82,3.0,0.0,328402.0,0,37.333333333333336,109.0,112.0,327.0,0
2024,Germany,12,13,8,33,10.0,0.0,257858.0,0,12.666666666666666,41.0,38.0,123.0,0
1908,Germany,3,5,5,13,5.0,0.0,134684.59259259258,0,4.666666666666667,12.333333333333334,14.0,37.0,0
1904,Germany,4,5,6,15,2.0,0.0,134684.59259259258,0,5.0,11.0,10.0,22.0,0
1936,Germany,38,31,32,101,1.0,0.0,134684.59259259258,1,6.666666666666667,26.666666666666668,20.0,80.0,0
2016,Germany,17,10,15,42,5.0,0.0,188112.0,0,13.333333333333334,44.666666666666664,40.0,134.0,0
1988,Germany,48,49,45,142,3.5,0.0,268558.0,0,38.0,104.66666666666667,114.0,314.0,0
1968,Germany,14,20,17,51,6.5,0.0,166419.0,0,9.333333333333334,39.333333333333336,28.0,118.0,0
2020,Germany,10,11,16,37,9.0,0.0,184495.0,0,14.666666666666666,42.333333333333336,44.0,127.0,0
2004,Germany,13,16,20,49,6.0,0.0,233452.0,0,22.0,67.66666666666667,66.0,203.0,0
1896,Germany,6,5,2,13,3.0,0.0,134684.59259259258,0,0.0,0.0,0.0,0.0,0
1976,Germany,50,37,42,129,3.0,0.0,278442.0,0,19.0,69.0,57.0,207.0,0
1972,Germany,33,34,39,106,3.5,0.0,235204.0,0,12.0,47.666666666666664,36.0,143.0,0
1900,Germany,4,3,2,9,7.0,0.0,134684.59259259258,0,6.0,13.0,6.0,13.0,0
1932,Germany,5,12,7,24,7.0,0.0,134684.59259259258,0,6.0,23.0,18.0,69.0,0
2012,Germany,11,20,13,44,6.0,0.0,221332.0,0,14.0,48.666666666666664,42.0,146.0,0
1928,Germany,10,7,14,31,2.0,0.0,134684.59259259258,0,4.0,17.666666666666668,12.0,53.0,0
1912,Germany,5,13,7,25,6.0,0.0,134684.59259259258,0,3.6666666666666665,12.333333333333334,11.0,37.0,0
1984,Germany,17,19,23,59,3.0,0.0,180233.0,0,43.333333333333336,120.33333333333333,130.0,361.0,0
1996,Germany,20,18,27,65,3.0,0.0,310465.0,0,32.666666666666664,94.33333333333333,98.0,283.0,0
2000,Germany,13,17,26,56,5.0,0.0,191866.0,0,33.666666666666664,96.33333333333333,101.0,289.0,0
2008,Germany,16,11,14,41,5.0,0.0,257858.0,0,15.333333333333334,56.666666666666664,46.0,170.0,0
1956,Germany,6,13,7,26,7.0,0.0,134684.59259259258,0,14.333333333333334,49.666666666666664,43.0,149.0,0
